abbreviation	name	formula	charge	compartment	kegg_id	cas_id	internal_id	
5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	C9H11N3O9P	-3	Cytosol	C04751		44477	
2mahmp	2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate	C6H8N3O7P2	-3	Cytosol	C04752	745-65-3	44484	
5prdmbz	N1-(5-Phospho-alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H17N2O7P	-2	Cytosol	C04778		44527	
25aics	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	C13H15N4O12P	-4	Cytosol	C04823		44624	
lipidX	2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate	C34H64NO12P	-2	Cytosol	C04824	None	44628	
dhnpt	Dihydroneopterin	C9H13N5O4	0	Cytosol	C04874		44772	
ugmd	UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	C35H51N7O26P2	-4	Cytosol	C04877		44782	
ugmda	UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C41H61N9O28P2	-4	Cytosol	C04882		44801	
ahdt	2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate	C9H12N5O13P3	-4	Cytosol	C04895		44843	
prfp	1-(5-Phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide	C15H21N5O15P2	-4	Cytosol	C04896		44846	
prlp	5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide	C15H21N5O15P2	-4	Cytosol	C04916		44913	
lipidA	2,3,2'3'-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine 1,4'-bisphosphate	C68H126N2O23P2	-4	Cytosol		None	44967	
isetac	Isethionic acid	C2H5O4S	-1	Cytosol, Extra-organism, Periplasm	C05123	107-36-8	45154	
selnp	Selenophosphate	H2O3PSe	-1	Cytosol	C05172		45264	
sectrna	L-Selenocysteinyl-tRNA(Sec)	C3H6NOSeR	1	Cytosol	C05173		45266	
dad-5	5'-Deoxyadenosine	C10H13N5O3	0	Cytosol	C05198		45324	
acetol	Acetol	C3H6O2	0	Cytosol	C05235	116-09-6	45400	
3hhdcoa	(S)-3-Hydroxyhexadecanoyl-CoA	C37H62N7O18P3S	-4	Cytosol	C05258		45443	
3ohdcoa	3-Oxohexadecanoyl-CoA	C37H60N7O18P3S	-4	Cytosol	C05259		45445	
3htdcoa	(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	-4	Cytosol	C05260		45447	
3otdcoa	3-Oxotetradecanoyl-CoA	C35H56N7O18P3S	-4	Cytosol	C05261		45449	
3hddcoa	(S)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	-4	Cytosol	C05262		45451	
3oddcoa	3-Oxododecanoyl-CoA	C33H52N7O18P3S	-4	Cytosol	C05263		45453	
3hdcoa	(S)-3-Hydroxydecanoyl-CoA	C31H50N7O18P3S	-4	Cytosol	C05264		45455	
3odcoa	3-Oxodecanoyl-CoA	C31H48N7O18P3S	-4	Cytosol	C05265		45458	
3hocoa	(S)-3-Hydroxyoctanoyl-CoA	C29H46N7O18P3S	-4	Cytosol	C05266		45460	
3oocoa	3-Oxooctanoyl-CoA	C29H44N7O18P3S	-4	Cytosol	C05267		45463	
3hhcoa	(S)-3-Hydroxyhexanoyl-CoA	C27H42N7O18P3S	-4	Cytosol	C05268		45465	
3ohcoa	3-Oxohexanoyl-CoA	C27H40N7O18P3S	-4	Cytosol	C05269	5096-70-8	45468	
hxcoa	Hexanoyl-CoA (n-C6:0CoA)	C27H42N7O17P3S	-4	Cytosol	C05270		45470	
hx2coa	trans-Hex-2-enoyl-CoA	C27H40N7O17P3S	-4	Cytosol	C05271		45472	
hdd2coa	trans-Hexadec-2-enoyl-CoA	C37H60N7O17P3S	-4	Cytosol	C05272		45474	
td2coa	trans-Tetradec-2-enoyl-CoA	C35H56N7O17P3S	-4	Cytosol	C05273		45476	
dcacoa	Decanoyl-CoA (n-C10:0CoA)	C31H50N7O17P3S	-4	Cytosol	C05274		45478	
dc2coa	trans-Dec-2-enoyl-CoA	C31H48N7O17P3S	-4	Cytosol	C05275		45480	
oc2coa	trans-Oct-2-enoyl-CoA	C29H44N7O17P3S	-4	Cytosol	C05276		45482	
hcys-L	L-Homocysteine	C4H9NO2S	0	Cytosol	C00155	6027-13-0	45588	
peamn	Phenethylamine	C8H12N	1	Extra-organism, Periplasm	C05332	64-04-0	45591	
glcur1p	D-Glucuronate 1-phosphate	C6H8O10P	-3	Extra-organism, Periplasm	C05385		45711	
gdpofuc	GDP-4-oxo-L-fucose	C16H21N5O15P2	-2	Cytosol			45716	
melib	Melibiose	C12H22O11	0	Cytosol, Extra-organism, Periplasm	C05402	585-99-9	45736	
23doguln	2,3-Dioxo-L-gulonate	C6H7O7	-1	Cytosol	C05409		45750	
din	Deoxyinosine	C10H12N4O4	0	Cytosol, Extra-organism, Periplasm	C05512	890-38-0	45942	
athr-L	L-Allo-threonine	C4H9NO3	0	Cytosol	C05519	28954-12-3	45952	
arbtn-fe3	Aerobactin	C22H33FeN4O13	0	Cytosol, Extra-organism, Periplasm	C05554	61-33-6	46016	
pppn	Phenylpropanoate	C9H9O2	-1	Cytosol, Extra-organism, Periplasm	C05629	2628-17-3	46159	
gtspmd	Glutathionylspermidine	C17H36N6O5S	2	Cytosol	C05730	7783-08-6	46368	
butACP	Butyryl-ACP (n-C4:0ACP)	C15H27N2O8PRS	-1	Cytosol	C05745	7783-08-6	46390	
3ohexACP	3-Oxohexanoyl-[acyl-carrier protein]	C17H29N2O9PRS	-1	Cytosol	C05746	7783-08-6	46393	
3hhexACP	(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]	C17H31N2O9PRS	-1	Cytosol	C05747	7783-08-6	46396	
thex2eACP	trans-Hex-2-enoyl-[acyl-carrier protein]	C17H29N2O8PRS	-1	Cytosol	C05748	7783-08-6	46401	
hexACP	Hexanoyl-ACP (n-C6:0ACP)	C17H31N2O8PRS	-1	Cytosol	C05749	7783-08-6	46404	
3ooctACP	3-Oxooctanoyl-[acyl-carrier protein]	C19H33N2O9PRS	-1	Cytosol	C05750	7783-08-6	46407	
toct2eACP	trans-Oct-2-enoyl-[acyl-carrier protein]	C19H33N2O8PRS	-1	Cytosol	C05751	7783-08-6	46410	
3odecACP	3-Oxodecanoyl-[acyl-carrier protein]	C21H37N2O9PRS	-1	Cytosol	C05753	7783-08-6	46416	
tdec2eACP	trans-Dec-2-enoyl-[acyl-carrier protein]	C21H37N2O8PRS	-1	Cytosol	C05754	7783-08-6	46419	
3oddecACP	3-Oxododecanoyl-[acyl-carrier protein]	C23H41N2O9PRS	-1	Cytosol	C05756	7783-08-6	46425	
3hddecACP	(R)-3-Hydroxydodecanoyl-[acyl-carrier protein]	C23H43N2O9PRS	-1	Cytosol	C05757	7783-08-6	46428	
tddec2eACP	trans-Dodec-2-enoyl-[acyl-carrier protein]	C23H41N2O8PRS	-1	Cytosol	C05758	7783-08-6	46433	
3omrsACP	3-Oxotetradecanoyl-[acyl-carrier protein]	C25H45N2O9PRS	-1	Cytosol	C05759	7783-08-6	46436	
tmrs2eACP	trans-Tetradec-2-enoyl-[acyl-carrier protein]	C25H45N2O8PRS	-1	Cytosol	C05760	7783-08-6	46439	
3opalmACP	3-Oxohexadecanoyl-[acyl-carrier protein]	C27H49N2O9PRS	-1	Cytosol	C05762	7783-08-6	46445	
tpalm2eACP	trans-Hexadec-2-enoyl-[acyl-carrier protein]	C27H49N2O8PRS	-1	Cytosol	C05763	7783-08-6	46448	
cbi	Cobinamide	C48H72CoN11O8	0	Cytosol, Extra-organism, Periplasm	C05774	1867-62-5	46472	
rdmbzi	N1-(alpha-D-ribosyl)-5,6-dimethylbenzimidazole	C14H18N2O4	0	Cytosol	C05775		46474	
scl	sirohydrochlorin	C42H39N4O16	-7	Cytosol	C05778		46482	
3ophb	3-Octaprenyl-4-hydroxybenzoate	C47H69O3	-1	Cytosol	C05809		46544	
2oph	2-Octaprenylphenol	C46H70O	0	Cytosol	C05810		46546	
2ohph	2-Octaprenyl-6-hydroxyphenol	C46H70O2	0	Cytosol	C05811		46548	
2omph	2-Octaprenyl-6-methoxyphenol	C47H72O2	0	Cytosol	C05812		46550	
ssaltpp	Succinate semialdehyde-thiamin diphosphate anion	C16H21N4O10P2S	-3	Cytosol	C05816		46558	
2shchc	2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	C11H10O6	-2	Cytosol	C05817		46560	
2dmmq8	2-Demethylmenaquinone 8	C50H70O2	0	Cytosol	C05818		46562	
mql8	Menaquinol 8	C51H74O2	0	Cytosol	C05819		46564	
iasp	Iminoaspartate	C4H3NO4	-2	Cytosol	C05840		46611	
uagmda	Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine	C87H139N7O23P2	-4	Cytosol	C05897		46787	
uaagmda	Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-ala-D-glu-meso-2,6-diaminopimeloyl-D-ala-D-ala	C95H152N8O28P2	-4	Cytosol	C05898		46790	
sucglu	N2-Succinyl-L-glutamate	C9H10NO7	-3	Cytosol	C05931	33981-72-5	46951	
sucgsa	N2-Succinyl-L-glutamate 5-semialdehyde	C9H11NO6	-2	Cytosol	C05932		46953	
clpn140	cardiolipin (tetratetradecanoyl, n-C14:0)	C65H124O17P2	-2	Periplasm	C05980		47122	
u3hga	UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine	C29H50N3O18P2	-1	Cytosol	C06022		47227	
lipa	KDO(2)-lipid (A)	C110H196N2O39P2	-6	Cytosol, Extra-organism, Periplasm	C06026		47241	
gam1p	D-Glucosamine 1-phosphate	C6H13NO8P	-1	Cytosol	C06156		47544	
arbt6p	Arbutin 6-phosphate	C12H15O10P	-2	Cytosol	C06187		47607	
3gmp	3'-GMP	C10H12N5O8P	-2	Extra-organism, Periplasm	C06193		47625	
23cgmp	2',3'-Cyclic GMP	C10H11N5O7P	-1	Extra-organism, Periplasm	C06194		47631	
dimp	dIMP	C10H11N4O7P	-2	Cytosol, Extra-organism, Periplasm	C06196		47635	
fe3hox	Fe(III)hydroxamate	C9H18O6N3Fe	0	Cytosol, Extra-organism, Periplasm	C06227		47707	
fecrm	Ferrichrome	C27H42FeN9O12	0	Cytosol, Extra-organism, Periplasm	C06228		47710	
fe3dcit	Fe(III)dicitrate	C12H10FeO14	-3	Extra-organism, Periplasm	C06229		47712	
feenter	Fe-enterobactin	C30H27FeN3O15	3	Cytosol, Extra-organism, Periplasm	C06230		47715	
mobd	Molybdate	MoO4	-2	Cytosol, Extra-organism, Periplasm	C06232		47720	
uacmamu	UDP-N-acetyl-D-mannosaminouronate	C17H22N3O18P2	-3	Cytosol	C06240		47733	
acanth	N-Acetylanthranilate	C9H8NO3	-1	Cytosol	C06332	89-52-1	47990	
adphep-DD	ADP-D-glycero-D-manno-heptose	C17H25N5O16P2	-2	Cytosol	C06397	119-61-9	48160	
octa	octanoate (n-C8:0)	C8H15O2	-1	Cytosol, Extra-organism, Periplasm	C06423	124-07-2	48223	
tyrp	Phosphotyrosine	C9H10NO6P	-2	Extra-organism, Periplasm	C06501		48439	
adocbi	Adenosyl cobinamide	C58H84CoN16O11	1	Cytosol	C06508		48459	
adocbip	Adenosyl cobinamide phosphate	C58H83CoN16O14P	-1	Cytosol	C06509		48461	
agdpcbi	Adenosine-GDP-cobinamide	C68H95CoN21O21P2	-1	Cytosol	C06510		48463	
aso3	arsenite	AsO3	-3	Cytosol, Extra-organism, Periplasm	C06697		48880	
ppt	Phosphonate	HO3P	-2	Extra-organism, Periplasm	C06701	13598-36-2	48890	
ag	silver	Ag	1	Cytosol, Extra-organism	C06710	7440-22-4	48910	
aacald	Aminoacetaldehyde	C2H6NO	1	Cytosol	C06735	452-86-8	48971	
fe3	Fe3+	Fe	3	Cytosol, Extra-organism, Periplasm		None	50061	
cl	Chloride	Cl	-1	Cytosol, Extra-organism, Periplasm	C00115		50130	
thymd	Thymidine	C10H14N2O5	0	Cytosol, Extra-organism, Periplasm	C00214	50-89-5	50348	
no3	Nitrate	NO3	-1	Cytosol, Extra-organism, Periplasm	C00244		50426	
cu2	Cu2+	Cu	2	Cytosol, Extra-organism, Periplasm			50600	
dcdp	dCDP	C9H12N3O10P2	-3	Cytosol	C00705	None	50858	
gsn	Guanosine	C10H13N5O5	0	Cytosol, Extra-organism, Periplasm	C00387	118-00-3	51567	
trnatyr	tRNA(Tyr)	R	0	Cytosol	C00787		52620	
alatrna	L-Alanyl-tRNA(Ala)	C3H6NOR	1	Cytosol	C00886		52727	
trnaala	tRNA(Ala)	R	0	Cytosol	C01635		52733	
leutrna	L-Leucyl-tRNA(Leu)	C6H12NOR	1	Cytosol	C02047		52740	
argtrna	L-Arginyl-tRNA(Arg)	C6H14N4OR	2	Cytosol	C02163		52745	
glntrna	L-Glutaminyl-tRNA(Gln)	C5H9N2O2R	1	Cytosol	C02282		52750	
glytrna	Glycyl-tRNA(Gly)	C2H4NOR	1	Cytosol	C02412		52755	
sertrna	L-Seryl-tRNA(Ser)	C3H6NO2R	1	Cytosol	C02553		52763	
valtrna	L-Valyl-tRNA(Val)	C5H10NOR	1	Cytosol	C02554		52766	
protrna	L-Prolyl-tRNA(Pro)	C5H8NOR	1	Cytosol	C02702		52769	
tyrtrna	L-Tyrosyl-tRNA(Tyr)	C9H10NO2R	1	Cytosol	C02839		52772	
asptrna	L-Aspartyl-tRNA(Asp)	C4H5NO3R	0	Cytosol	C02984		52775	
histrna	L-Histidyl-tRNA(His)	C6H8N3OR	1	Cytosol	C02988		52781	
thrtrna	L-Threonyl-tRNA(Thr)	C4H8NO2R	1	Cytosol	C02992		52784	
cystrna	L-Cysteinyl-tRNA(Cys)	C3H6NOSR	1	Cytosol	C03125		52787	
iletrna	L-Isoleucyl-tRNA(Ile)	C6H12NOR	1	Cytosol	C03127		52790	
asntrna	L-Asparaginyl-tRNA(Asn)	C14H23N2O12PR2	1	Cytosol	C03402		52793	
phetrna	L-Phenylalanyl-tRNA(Phe)	C9H10NOR	1	Cytosol	C03511		52796	
trptrna	L-Tryptophanyl-tRNA(Trp)	C11H11N2OR	1	Cytosol	C03512		52799	
alac-S	(S)-2-Acetolactate	C5H7O4	-1	Cytosol	C06010		109372	
dmpp	Dimethylallyl diphosphate	C5H9O7P2	-3	Cytosol	C00235	358-71-4	131960	
fadh2	Flavin adenine dinucleotide reduced	C27H33N9O15P2	-2	Cytosol	C01352		132077	
fcl-L	L-fuculose	C6H12O5	0	Cytosol	C01721		132120	
trnaglu	tRNA (Glu)	R	0	Cytosol	C01641	None	132267	
malACP	Malonyl-[acyl-carrier protein]	C14H22N2O10PRS	-2	Cytosol	C01209	None	132642	
glyc3p	Glycerol 3-phosphate	C3H7O6P	-2	Cytosol, Extra-organism, Periplasm	C00093		137383	
mqn8	Menaquinone 8	C51H72O2	0	Cytosol	C00828	84-81-1	199245	
db4p	3,4-dihydroxy-2-butanone 4-phosphate	C4H7O6P	-2	Cytosol			199371	
4adcho	4-amino-4-deoxychorismate	C10H10NO5	-1	Cytosol	C11355		214284	
ttdca	tetradecanoate (n-C14:0)	C14H27O2	-1	Cytosol, Extra-organism, Periplasm	C06424	544-63-8	215851	
dxyl5p	1-deoxy-D-xylulose 5-phosphate	C5H9O7P	-2	Cytosol	C11437		216273	
2me4p	2-C-methyl-D-erythritol 4-phosphate	C5H11O7P	-2	Cytosol	C11434		216293	
4c2me	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H23N3O14P2	-2	Cytosol	C11435		216317	
2p4c2me	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H22N3O17P3	-4	Cytosol			216335	
2mecdp	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	C5H10O9P2	-2	Cytosol	C11453		216364	
glycogen	glycogen	C6H10O5	0	Cytosol	C00182		227233	
hemeO	Heme O	C49H56FeN4O5	-2	Cytosol			227628	
mettrna	L-Methionyl-tRNA (Met)	C5H10NOSR	1	Cytosol	C02430		227723	
lystrna	L-Lysine-tRNA (Lys)	C6H14N2OR	2	Cytosol	C01931		227725	
2kmb	2-keto-4-methylthiobutyrate	C5H7O3S	-1	Cytosol			228408	
hdcea	Hexadecenoate (n-C16:1)	C16H29O2	-1	Cytosol, Extra-organism, Periplasm			246167	
tagdp-D	D-Tagatose 1,6-biphosphate	C6H10O12P2	-4	Cytosol	C03785		1436448	
ACP	acyl carrier protein	C11H21N2O7PRS	-1	Cytosol	C00229		1436893	
acACP	Acetyl-ACP	C13H23N2O8PRS	-1	Cytosol			1436913	
actACP	Acetoacetyl-ACP	C15H25N2O9PRS	-1	Cytosol	C05744		1436931	
ddcaACP	Dodecanoyl-ACP (n-C12:0ACP)	C23H43N2O8PRS	-1	Cytosol	C05223		1436978	
myrsACP	Myristoyl-ACP (n-C14:0ACP)	C25H47N2O8PRS	-1	Cytosol	C05761		1437493	
tdeACP	cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)	C25H45N2O8PRS	-1	Cytosol			1437535	
palmACP	Palmitoyl-ACP (n-C16:0ACP)	C27H51N2O8PRS	-1	Cytosol	C05764		1437566	
hdeACP	cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)	C27H49N2O8PRS	-1	Cytosol			1437594	
octeACP	cis-octadec-11-enoyl-[acyl-carrier protein] (n-C18:1)	C29H53N2O8PRS	-1	Cytosol			1437596	
lipidAds	Lipid A Disaccharide	C68H127N2O20P	-2	Cytosol	C04932		1438046	
4hba	4-Hydroxy-benzyl alcohol	C7H8O2	0	Cytosol			1438178	
q8	Ubiquinone-8	C49H74O4	0	Cytosol	C00399	1339-63-5	1438260	
q8h2	Ubiquinol-8	C49H76O4	0	Cytosol	C00390		1438261	
2dmmql8	2-Demethylmenaquinol 8	C50H72O2	0	Cytosol			1438263	
dxyl	1-deoxy-D-xylulose	C5H10O4	0	Cytosol	C06257		1438793	
galt1p	Galactitol 1-phosphate	C6H13O9P	-2	Cytosol	C06311		1439076	
tag6p-D	D-Tagatose 6-phosphate	C6H11O9P	-2	Cytosol	C01097		1439080	
ocdcaACP	Octadecanoyl-ACP (n-C18:0ACP)	C29H55N2O8PRS	-1	Cytosol			1440358	
5caiz	5-phosphoribosyl-5-carboxyaminoimidazole	C9H11N3O9P	-3	Cytosol			1441327	
cgly	Cys-Gly	C5H10N2O3S	0	Cytosol, Extra-organism, Periplasm	C01419	19246-18-5	1445980	
ocACP	Octanoyl-ACP (n-C8:0ACP)	C19H35N2O8PRS	-1	Cytosol	C05752		1446145	
dcaACP	Decanoyl-ACP (n-C10:0ACP)	C21H39N2O8PRS	-1	Cytosol	C05755		1446147	
h2mb4p	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate	C5H9O8P2	-3	Cytosol	C11811		1446395	
2ombzl	2-Octaprenyl-6-methoxy-1,4-benzoquinol	C47H72O3	0	Cytosol			1446534	
2ommbl	2-Octaprenyl-3-methyl-6-methoxy- 1,4-benzoquinol	C48H74O3	0	Cytosol			1446539	
2omhmbl	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinol	C48H74O4	0	Cytosol			1446551	
25drapp	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate	C9H14N5O8P	-2	Cytosol			1446959	
dhpmp	Dihydroneopterin monophosphate	C9H12N5O7P	-2	Cytosol	C05925		1447045	
6hmhpt	6-hydroxymethyl dihydropterin	C7H9N5O2	0	Cytosol			1447073	
6hmhptpp	6-hydroxymethyl-dihydropterin pyrophosphate	C7H8N5O8P2	-3	Cytosol			1447078	
ohpb	2-Oxo-3-hydroxy-4-phosphobutanoate	C4H4O8P	-3	Cytosol	C06054		1447403	
phthr	O-Phospho-4-hydroxy-L-threonine	C4H8NO7P	-2	Cytosol	C06055		1448859	
4hthr	4-Hydroxy-L-threonine	C4H9NO4	0	Cytosol	C06056		1450010	
3hmrsACP	(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]	C25H47N2O9PRS	-1	Cytosol	C04688		1450063	
kdo2lipid4	KDO(2)-lipid IV(A)	C84H148N2O37P2	-6	Cytosol, Extra-organism, Periplasm	C06025		1450113	
kdo2lipid4L	KDO(2)-lipid IV(A) with laurate	C96H170N2O38P2	-6	Cytosol	C06251		1450133	
ckdo	CMP-3-deoxy-D-manno-octulosonate	C17H24N3O15P	-2	Cytosol			1450191	
kdolipid4	KDO-lipid IV(A)	C76H137N2O30P2	-5	Cytosol	C06024		1450230	
dkmpp	2,3-diketo-5-methylthio-1-phosphopentane	C6H9O6PS	-2	Cytosol			1450933	
ttdcea	tetradecenoate (n-C14:1)	C14H25O2	-1	Cytosol, Extra-organism, Periplasm			1451010	
ocdcea	octadecenoate (n-C18:1)	C18H33O2	-1	Cytosol, Extra-organism, Periplasm			1451011	
tdecoa	Tetradecenoyl-CoA (n-C14:1CoA)	C35H56N7O17P3S	-4	Cytosol			1451382	
hdcoa	Hexadecenoyl-CoA (n-C16:1CoA)	C37H60N7O17P3S	-4	Cytosol			1451383	
stcoa	Stearoyl-CoA (n-C18:0CoA)	C39H66N7O17P3S	-4	Cytosol	C00412	362-66-3	1451385	
odecoa	Octadecenoyl-CoA (n-C18:1CoA)	C39H64N7O17P3S	-4	Cytosol			1451388	
od2coa	trans-Octadec-2-enoyl-CoA	C39H64N7O17P3S	-4	Cytosol			1452075	
3hodcoa	(S)-3-Hydroxyoctadecanoyl-CoA	C39H66N7O18P3S	-4	Cytosol			1452167	
apoACP	apoprotein [acyl carrier protein]	RHO	0	Cytosol			1452673	
gdpmann	GDP-D-mannose	C16H23N5O16P2	-2	Cytosol	C00096		1460457	
cenchddd	cis-3-(3-carboxyethenyl)-3,5-cyclohexadiene-1,2-diol	C9H9O4	-1	Cytosol			1472194	
cechddd	cis-3-(3-carboxyethyl)-3,5-cyclohexadiene-1,2-diol	C9H11O4	-1	Cytosol			1472223	
dhcinnm	2,3-dihydroxicinnamic acid	C9H7O4	-1	Cytosol			1472265	
hkntd	2-hydroxy-6-ketononatrienedioate	C9H6O6	-2	Cytosol			1472288	
3hpppn	3-(3-hydroxy-phenyl)propionate	C9H9O3	-1	Cytosol, Extra-organism, Periplasm			1472372	
3hcinnm	3-hydroxycinnamic acid	C9H7O3	-1	Cytosol, Extra-organism, Periplasm			1472404	
dmso	Dimethyl sulfoxide	C2H6OS	0	Cytosol, Extra-organism, Periplasm	C11143		1482895	
25dkglcn	2,5-diketo-D-gluconate	C6H7O7	-1	Cytosol	C02780		1482980	
2dhguln	2-Dehydro-L-gulonate	C6H9O7	-1	Cytosol			1482981	
urdglyc	(-)-Ureidoglycolate	C3H5N2O4	-1	Cytosol	C00603		1483307	
dtdp4aaddg	dTDP-4-acetamido-4,6-dideoxy-D-galactose	C18H27N3O15P2	-2	Cytosol			1483499	
unaga	Undecaprenyl diphospho N-acetyl-glucosamine	C63H103NO12P2	-2	Cytosol			1483642	
unagamu	Undecaprenyl-diphospho-N-acetylglucosamine-N-acetylmannosaminuronate	C71H113N2O18P2	-3	Cytosol			1483661	
unagamuf	Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose	C79H126N3O22P2	-3	Cytosol, Periplasm			1483737	
3dhgulnp	3-keto-L-gulonate-6-phosphate	C6H8O10P	-3	Cytosol			1483967	
g3ps	Glycerophosphoserine	C6H13NO8P	-1	Cytosol, Extra-organism, Periplasm			1484554	
ap4a	P1,P4-Bis(5'-adenosyl) tetraphosphate	C20H24N10O19P4	-4	Cytosol	C01260		1484745	
gp4g	P1,P4-Bis(5'-guanosyl) tetraphosphate	C20H24N10O21P4	-4	Cytosol	C01261		1484779	
camp	cAMP	C10H11N5O6P	-1	Cytosol	C00575		1484809	
mi1p-D	1D-myo-Inositol 1-phosphate	C6H11O9P	-2	Cytosol	C01177		1484840	
Sfglutth	S-Formylglutathione	C11H16N3O7S	-1	Cytosol	C01031		1485290	
acac	Acetoacetate	C4H5O3	-1	Cytosol, Extra-organism, Periplasm	C00164	541-50-4	1485291	
kdo2lipid4p	KDO(2)-lipid IV(A) with palmitoleoyl	C100H176N2O38P2	-6	Cytosol			1485724	
lipa_cold	cold adapted KDO(2)-lipid (A)	C114H202N2O39P2	-6	Cytosol, Extra-organism, Periplasm			1485766	
maltpt	Maltopentaose	C30H52O26	0	Cytosol, Extra-organism, Periplasm			1486099	
malthp	Maltoheptaose	C42H72O36	0	Cytosol			1486100	
pac	Phenylacetic acid	C8H7O2	-1	Cytosol	C07086	103-82-2	1486426	
btnso	d-biotin d-sulfoxide	C10H15N2O4S	-1	Cytosol			1486591	
aconm	E-3-carboxy-2-pentenedioate 6-methyl ester	C7H6O6	-2	Cytosol			1486606	
adphep-LD	ADP-L-glycero-D-manno-heptose	C17H25N5O16P2	-2	Cytosol	C06398		1488036	
gmhep1p	D-Glycero-D-manno-heptose 1-phosphate	C7H13O10P	-2	Cytosol	C07838		1488063	
gmhep17bp	D-Glycero-D-manno-heptose 1,7-bisphosphate	C7H12O13P2	-4	Cytosol	C11472		1488077	
gmhep7p	D-Glycero-D-manno-heptose 7-phosphate	C7H13O10P	-2	Cytosol	C07836		1488095	
crncoa	L-Carnitinyl-CoA	C28H46N8O18P3S	-3	Cytosol			1489398	
ctbtcoa	crotonobetainyl-CoA	C28H44N8O17P3S	-3	Cytosol			1489399	
bbtcoa	gamma-butyrobetainyl-CoA	C28H46N8O17P3S	-3	Cytosol			1489417	
gbbtn	gamma-butyrobetaine	C7H15NO2	0	Cytosol, Extra-organism, Periplasm			1489453	
fmnh2	Reduced FMN	C17H21N4O9P	-2	Cytosol		67-63-0	1489679	
dhptd	4,5-dihydroxy-2,3-pentanedione	C5H8O4	0	Cytosol	C11838		1494230	
hmfurn	4-hydroxy-5-methyl-3(2H)-furanone	C5H6O3	0	Cytosol			1494231	
seramp	L-seryl-AMP	C13H19N6O9P	0	Cytosol			1516588	
enter	Enterochelin	C30H27N3O15	0	Cytosol, Extra-organism, Periplasm			1516604	
ascb6p	L-ascorbate-6-phosphate	C6H7O9P	-2	Cytosol			1560786	
3hoctaACP	(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]	C29H55N2O9PRS	-1	Cytosol			1572019	
3hpalmACP	R-3-hydroxypalmitoyl-[acyl-carrier protein]	C27H51N2O9PRS	-1	Cytosol	C04633		1572107	
acmum6p	N-acetylmuramate 6-phosphate	C11H17NO11P	-3	Cytosol			1771501	
manglyc	2(alpha-D-Mannosyl)-D-glycerate	C9H15O9	-1	Extra-organism, Periplasm	C11544		1771707	
man6pglyc	2(alpha-D-Mannosyl-6-phosphate)-D-glycerate	C9H14O12P	-3	Cytosol			1771713	
mg2	magnesium	Mg	2	Cytosol, Extra-organism, Periplasm	C00305		1787372	
cd2	Cadmium	Cd	2	Cytosol, Extra-organism, Periplasm	C01413		1800088	
3oodcoa	3-Oxooctadecanoyl-CoA	C39H64N7O18P3S	-4	Cytosol			1800302	
23dhba	(2,3-Dihydroxybenzoyl)adenylate	C17H17N5O10P	-1	Cytosol	C04030		1816866	
allul6p	Allulose 6-phosphate	C6H11O9P	-2	Cytosol			1837836	
trnasecys	tRNA(SeCys)	R	0	Cytosol			1899582	
feoxam	ferroxamine	C25H46FeN6O8	1	Cytosol, Extra-organism, Periplasm			1899884	
